hour,load_0,load_8,load_10,load_15,load_18,load_19,load_20,load_21,load_22,load_23,load_24,load_25,load_26,load_27,load_28,load_29,load_30,load_31,load_32,load_33,load_34
0,11.875248000000001,11.875248000000001,3.83724,3.972672,0.2189484,0.178398,0.3449468,0.36011250000000006,0.21606750000000002,0.4340556,0.060588,0.3983873142857142,0.06639788571428572,0.38949428571428574,0.06491571428571428,0.37643760000000004,0.05385600000000001,0.26120160000000003,0.037928,0.16787477563188594,0.2668448243681141
1,11.54538,11.54538,3.73065,3.86232,0.2128665,0.1734425,0.3323705,0.350109375,0.210065625,0.42199849999999994,0.058905,0.38732099999999997,0.0645535,0.378675,0.0631125,0.365981,0.052360000000000004,0.25394600000000006,0.03162000000000001,0.1605835,0.255255
2,11.215512000000002,11.215512000000002,3.6240600000000005,3.7519680000000006,0.2067846,0.16848700000000003,0.32287420000000006,0.34010625000000005,0.20406375000000004,0.4099414,0.05722200000000001,0.3762546857142857,0.06270911428571428,0.36785571428571434,0.06130928571428572,0.3555244000000001,0.05086400000000001,0.24669040000000006,0.025432000000000007,0.1559954,0.24796200000000004
3,10.885644000000001,10.885644000000001,3.5174700000000003,3.6416160000000004,0.2007027,0.16353150000000002,0.31337790000000004,0.33010312500000005,0.19806187500000003,0.39788429999999997,0.055539000000000005,0.3651883714285714,0.06086472857142857,0.3570364285714286,0.059506071428571436,0.34506780000000004,0.04936800000000001,0.23943480000000006,0.024684000000000005,0.1514073,0.24066900000000005
4,10.555776000000002,10.555776000000002,3.41088,3.531264,0.1946208,0.15857600000000002,0.30388160000000003,0.32010000000000005,0.19206000000000004,0.3858272,0.053856,0.3541220571428571,0.05902034285714286,0.3462171428571429,0.057702857142857146,0.33461120000000005,0.047872000000000005,0.23217920000000006,0.023936000000000002,0.1468192,0.23337600000000003
5,10.225908,10.225908,3.30429,3.4209120000000004,0.1885389,0.15362050000000002,0.2943853,0.31009687500000005,0.18605812500000002,0.3737701,0.052173000000000004,0.34305574285714285,0.05717595714285714,0.33539785714285714,0.05589964285714286,0.3241546,0.04637600000000001,0.22492360000000003,0.023188000000000004,0.1422311,0.22608300000000003
6,9.566172,9.566172,3.09111,3.200208,0.17637509999999998,0.14370950000000002,0.2753927,0.29009062500000005,0.174054375,0.34965589999999996,0.048807,0.32932311428571426,0.05348718571428571,0.3137592857142857,0.05229321428571428,0.3032414,0.043384000000000006,0.21041240000000003,0.021692000000000003,0.1330549,0.21149700000000002
7,8.906436000000001,8.906436000000001,2.87793,2.9795040000000004,0.1642113,0.13379850000000001,0.2564001,0.27008437500000004,0.16205062500000003,0.3255417,0.045441,0.29935048571428574,0.049798414285714285,0.29212071428571434,0.04868678571428572,0.28232820000000003,0.04039200000000001,0.19590120000000005,0.020196000000000006,0.12387870000000001,0.19691100000000003
8,8.2467,8.2467,2.66475,2.7588000000000004,0.1520475,0.12388750000000001,0.2374075,0.25007812500000004,0.15004687500000002,0.30142749999999996,0.042075,0.2766578571428571,0.046109642857142856,0.2704821428571429,0.045080357142857144,0.261415,0.0374,0.18139000000000002,0.0187,0.1147025,0.18232500000000001
9,8.576568,8.576568,2.7713400000000004,2.869152,0.1581294,0.128843,0.2469038,0.26008125000000004,0.15604875,0.3134846,0.043758000000000005,0.28772417142857143,0.047954028571428574,0.2813014285714286,0.046883571428571434,0.27187160000000005,0.03889600000000001,0.18864560000000005,0.019448000000000003,0.11929060000000001,0.18961800000000004
