hour,load_0,load_8,load_10,load_15,load_18,load_19,load_20,load_21,load_22,load_23,load_24,load_25,load_26,load_27,load_28,load_29,load_30,load_31,load_32,load_33,load_34
0,2.4113719535766416,2.4113719535766416,1.2612397957565407,1.305754141489125,0.05487364155439301,0.11056115048243668,0.08567989646212242,0.09025269992498826,0.05415161995499296,0.10878458764291939,0.03754906997516716,0.09984527260273005,0.016640878767121673,0.24138687841178896,0.040231146401964825,0.09434415565492112,0.033376951089037474,0.06546329167892491,0.016688475544518737,0.04139590503226138,0.1627126365590577
1,2.3443893993106237,2.3443893993106237,1.2262053569855256,1.2694831931144268,0.05334937373343765,0.10749000741348011,0.08329989933817457,0.08774568048262747,0.05264740828957649,0.10576279354172717,0.03650604025363474,0.09707179280820977,0.016178632134701627,0.23468168734479483,0.0391136145574658,0.09172348466450664,0.032449813558786435,0.06364486691006588,0.016224906779393217,0.040246018781365224,0.15819284109908388
2,2.277406845044606,2.277406845044606,1.1911709182145107,1.2332122447397291,0.051825105912482294,0.10441886434452355,0.08091990221422672,0.0852386610402667,0.051143196624160024,0.10274099944053498,0.035463010532102324,0.0942983130136895,0.015716385502281584,0.2279764962778007,0.03799608271296678,0.08910281367409217,0.031522676028535396,0.06182644214120686,0.015761338014267698,0.039096132530469084,0.15367304563911008
3,2.210424290778588,2.210424290778588,1.1561364794434956,1.1969412963650312,0.05030083809152693,0.10134772127556697,0.07853990509027887,0.08273164159790591,0.049638984958743554,0.09971920533934278,0.0344199808105699,0.09152483321916922,0.015254138869861536,0.22127130521080657,0.03687855086846776,0.0864821426836777,0.030595538498284353,0.06000801737234784,0.015297769249142177,0.03794624627957293,0.14915325017913625
4,2.14344173651257,2.14344173651257,1.1211020406724805,1.1606703479903333,0.04877657027057157,0.0982765782066104,0.07615990796633103,0.08022462215554513,0.04813477329332708,0.09669741123815057,0.03337695108903748,0.08875135342464893,0.01479189223744149,0.21456611414381244,0.035761019023968735,0.08386147169326322,0.02966840096803331,0.05818959260348881,0.014834200484016655,0.03679636002867678,0.14463345471916242
5,2.0764591822465523,2.0764591822465523,1.0860676019014657,1.1243993996156354,0.0472523024496162,0.09520543513765381,0.07377991084238318,0.07771760271318434,0.046630561627910606,0.09367561713695836,0.032333921367505056,0.08597787363012865,0.014329645605021441,0.20786092307681828,0.03464348717946971,0.08124080070284874,0.02874126343778227,0.05637116783462978,0.014370631718891134,0.03564647377778063,0.1401136592591886
6,1.9424940737145167,1.9424940737145167,1.0159987243594355,1.0518575028662394,0.04420376680770548,0.08906314899974066,0.0690199165944875,0.07270356382846277,0.04362213829707766,0.08763202893457395,0.030247861924440213,0.0804309140410881,0.013405152340181348,0.19445054094282999,0.03240842349047167,0.07599945872201978,0.026886988377280187,0.052734318296911734,0.013443494188640093,0.03334670127598833,0.13107406833924093
7,1.8085289651824812,1.8085289651824812,0.9459298468174056,0.9793156061168438,0.04115523116579476,0.08292086286182752,0.06425992234659181,0.0676895249437412,0.040613714966244725,0.08158844073218954,0.028161802481375373,0.07488395445204754,0.012480659075341257,0.18104015880884175,0.030173359801473624,0.07075811674119084,0.02503271331677811,0.049097468759193685,0.012516356658389054,0.031046928774196035,0.1220344774192933
8,1.6745638566504455,1.6745638566504455,0.8758609692753755,0.9067737093674478,0.038106695523884036,0.07677857672391437,0.05949992809869612,0.06267548605901962,0.03760529163541178,0.07554485252980513,0.02607574303831053,0.06933699486300698,0.011556165810501163,0.16762977667485346,0.027938296112475575,0.06551677476036188,0.023178438256276024,0.04546061922147563,0.011589219128138012,0.028747156272403734,0.11299488649934564
9,1.7415464109164633,1.7415464109164633,0.9108954080463906,0.9430446577421457,0.0396309633448394,0.07984971979287095,0.06187992522264397,0.06518250550138041,0.039109503300828255,0.07856664663099734,0.027118772759842952,0.07211047465752726,0.01201841244292121,0.1743349677418476,0.0290558279569746,0.06813744575077636,0.024105575786527066,0.04727904399033466,0.012052787893263533,0.029897042523299885,0.11751468195931947
